Business Id,Business Name,Address,By Appointment Only,Open On Weekend,Stars
vcNAWiLM4dR7D2nwwJ7nCA,Health,4840 E Indian School Rd Ste 101 Phoenix AZ 85018,1,0,3.5,
e_U_FnpdKVgNb4mUN2cU_Q,Health,2323 Greentree Rd Carnegie PA 15106,1,0,2.0,
xxWFOD46ubTSF3nPRM19BA,Health,1730 Settlers Ridge Center Dr Pittsburgh PA 15136,1,1,1.0,
2i6lkGef2_GMudi6SbRX2w,Health,235 Shady Ave Shadyside Pittsburgh PA 15206,0,1,4.0,
_4jd_mYZ8EmE7Hl7AOyWzA,Health,527 Shady Ave Shadyside Pittsburgh PA 15206,1,0,4.0,
-iVcmhjfq79QoTWzrb6pKg,Health,7516 Meade St Point Breeze Pittsburgh PA 15208,0,1,4.5,
bAnFMk-UoNjyVYUj0sJT0w,Health,7501 Penn Ave Point Breeze Pittsburgh PA 15208,1,0,5.0,
Wnn1GtvvtnkFdPfdRcYW-Q,Health,2892 W Liberty Ave Dormont Pittsburgh PA 15216,0,1,4.5,
WD7TUnO7ExNJahLN4p3bMA,Health,1789 S Braddock Ave Ste 110 Pittsburgh PA 15218,1,0,4.5,
gX96CYY9T3K-jiippnnXDA,Health,817 Liberty Ave Suite J Downtown Pittsburgh PA 15222,1,1,2.0,
AcD5G-u_GvLSnL4Vppq80A,Health,2825 Penn Ave Strip District Pittsburgh PA 15222,1,0,5.0,
9b-YnpVt3P5Sk0_yUDaMGQ,Health,355 5th Ave Downtown Pittsburgh PA 15222,0,0,5.0,
TqkBwRmoEgECElxeY0OgKA,Health,606 Liberty Ave Downtown Pittsburgh PA 15222,1,0,5.0,
l3N07ZNUCTgooKAoJcxQZQ,Health,4822 Liberty Ave Bloomfield Pittsburgh PA 15224,1,0,2.5,
NH__LjpMPLOoWBVMYAJ9Iw,Health,4760 Liberty Ave Bloomfield Pittsburgh PA 15224,1,0,4.0,
01a4YOjiBbPUBxvgX6F7VQ,Health,20 Cedar Blvd Ste 301 Pittsburgh PA 15228,1,0,5.0,
7f7P9SCQgBRSMYXbsnDGDQ,Health,300 Hazel Dr Pittsburgh PA 15228,0,0,2.5,
FoZAwudo-SFiT7fV9F1baw,Health,250 Mt Lebanon Blvd Pittsburgh PA 15234,1,0,2.5,
oU38GVk3Kmw7_LOVLSqqwA,Health,Highway 51 & Park Rd Pineville NC 28134,0,0,3.5,
5BCW9vDG1YRFqb55XfaNow,Health,11025 Carolina Place Pkwy Pineville NC 28134,0,1,2.0,
3agV-iW8yukcXpbHom3p3Q,Health,200 S College St Ste 307 Uptown Charlotte NC 28202,1,0,5.0,
81R8SNN9_RfJoMIx3lqNYg,Health,1025 Morehead Medical Dr Ste 600 Dilworth Charlotte NC 28204,1,0,3.5,
DP70v9gay6NeKbFEdHAgKA,Health,4400 Sharon Rd. Southpark Mall South Park Charlotte NC 28202,0,0,3.5,
5dn_3KLiTl2vVe8O91pJ6g,Health,301 S College St Ste 265 Uptown Charlotte NC 28202,0,0,4.0,
1nUhZPE06iQRKI6_z78IjA,Health,3541 Randolph Rd Elizabeth Charlotte NC 28202,1,0,4.5,
JeZRokQJYf6sV_TF7lm9_Q,Health,2001 Vail Ave Elizabeth Charlotte NC 28207,0,0,3.0,
zQOvb29OxZ-NCBnKSyHfYg,Health,9651-800 Brookdale Dr Charlotte NC 28215,1,0,3.5,
iYlGqyRNH5UYQABKsDuuDg,Health,200 S College St Ste 500 Uptown Charlotte NC 28202,1,0,3.5,
1lk-nBvl-mxV2PXLb29xBw,Health,900 W Trade St Third Ward Charlotte NC 28202,0,1,4.5,
b3u-GK6_xj2fJkinzLk_jQ,Health,400 E Morehead St South End Charlotte NC 28202,0,1,4.0,
M89_KGMzLmdevtAlC_Ufsg,Health,One Wells Fargo Center 301 S College St Ste 200 Uptown Charlotte NC 28202,0,1,4.0,
idP6mIwLoNLCA39RMcSm2A,Health,700 S Torrence St Ste 220 Myers Park Charlotte NC 28204,1,0,5.0,
Vmw4amlubvfDnIpkegvKKw,Health,200 Hawthorne Ln Elizabeth Charlotte NC 28204,0,0,3.5,
8BOcD4EO-9hhEWps0fXm6g,Health,1918 Randolph Rd Ste 670 Elizabeth Charlotte NC 28207,1,0,4.5,
UOLNw0-7GjxomFQiHUXisA,Health,6035 Fairview Rd South Park Charlotte NC 28210,1,0,3.0,
ByctOq-Af6lAZxROXkXTXw,Health,10370 Park Rd Ste 100 Charlotte NC 28210,1,0,2.5,
siixOX00BhEkUlKg3n06tA,Health,10000 Park Cedar Dr Charlotte NC 28210,1,0,3.0,
juZpQGOPbhc03TEyIA89nw,Health,10035 Park Cedar Dr Ste 300 Charlotte NC 28210,1,0,4.5,
R-ff6qTsHb6HC7wQ2Wl5bg,Health,7920 Moores Chapel Rd Paw Creek Charlotte NC 28214,1,0,4.5,
C0dmbGf1OvilBlDxH-m1gQ,Health,7810 Providence Rd Ste 103 Arboretum Charlotte NC 28226,0,0,3.0,
Z5HWuClqy4YZzvVrTRUEuQ,Health,3025 Springbank Ln Ste 200 Arboretum Charlotte NC 28226,1,0,5.0,
pi3mbzLBFd8D5JNxmpWVxw,Health,2425 Park Rd Charlotte NC 28203,0,0,4.5,
ucrGLecM9x8wqCBaVhnASQ,Health,8316 Medical Plaza Dr Derita Charlotte NC 28262,1,0,3.5,
m4si0py7QMsRcWxgkXK96Q,Health,105 Ben Casey Dr Ste 139 Fort Mill SC 29708,1,0,5.0,
1IxCNVVW9aKbK3BfQpI7eg,Health,7617 Mineral Point Rd Ste 202 Madison WI 53717,1,0,2.5,
x7xS2DJvu8klyNzcpN8QHg,Health,2529 Allen Blvd Middleton WI 53562,0,1,5.0,
GHvLvSN_imiXxqsgFPskWA,Health,6213 Middleton Springs Dr Ste 104 Middleton WI 53562,1,0,5.0,
W5Kuy-RfUE5JbjVQBDjxOg,Health,8434 Old Sauk Rd Middleton WI 53562,1,0,5.0,
vnwpKCeTrmt3FgMrE7AM-w,Health,8406 Old Sauk Rd Junction Ridge Middleton WI 53562,1,0,4.5,
SNaDmoUyl-X3bE8GM5hJ4w,Health,4228 E Towne Blvd Madison WI 53704,1,1,4.0,
xkS6vJXJljctHNuC5ahL6g,Health,237 North St Eken Park Madison WI 53704,1,0,4.0,
iyHtJGN4KtuSTUbB6fROBw,Health,1619 N Stoughton Rd Westchester Gardens Madison WI 53704,1,0,2.0,
QteGzTkODTvfXmwUTlzBbw,Health,2129 Zeier Rd Madison WI 53704,0,0,3.5,
vP7-03_-_NoNfwfeYADDPA,Health,3225 E Washington Ave Carpenter-Ridgeway Madison WI 53704,0,0,5.0,
seYxnMc1VrZsR7nc09ufmg,Health,4793 Hayes Rd Bluff Acres Madison WI 53704,0,0,3.0,
bYEwuO-Z14enA88RKyMHbw,Health,2612 E Washington Ave Eken Park Madison WI 53704,0,0,4.5,
RDC1DgFKtOMafYjFDmDGgQ,Health,5001 Monona Dr Monona WI 53716,1,0,2.5,
3FAaEsYznpJoo0fOA1yuBg,Health,Champaign Health Center 302 E Stoughton Champaign IL 61820,0,1,4.0,
bi5WD-l4DCkCEuYKOYrYtQ,Health,101 W University Ave Champaign IL 61820,1,0,2.0,
xwteMLHEtxdTGHASpXQcfg,Health,518 E Green St Champaign IL 61820,0,1,4.0,
Q9eZS4qDdJo1ker0w3wnMg,Health,300 S Broadway Suite 166 Urbana IL 61801,0,0,4.0,
KFbxRthy3tKt-oi1Jp7XdQ,Health,2225 S Neil St Champaign IL 61820,0,1,4.5,
xUgj_KF0-XRv_DBj96Yiaw,Health,505 S Neil St Ste 4 Champaign IL 61820,1,1,4.5,
fZiZKAFZkm5tqCKvD2n0_A,Health,1905 Convenience Pl Champaign IL 61820,0,0,1.0,
R7oNZOg09xgqLzbqzVQxvg,Health,2000 N Neil St Champaign IL 61820,0,1,2.5,
GNCN5Uy169ix11VW_EAC-g,Health,703 S Neil St Champaign IL 61820,1,0,2.5,
1acmBPmmFDovVSHHzMrJ9A,Health,2034 N 3rd St Phoenix AZ 85004,1,0,2.5,
QC3osgPdEl_TEZA2CtNeQw,Health,349 E Coronado Rd Phoenix AZ 85004,1,0,3.0,
KXt0Iky3ybeLsbY9KC6GSA,Health,2632 N 20th St Phoenix AZ 85006,1,0,2.0,
CAD0tKIttOTTgT7TMJa-lQ,Health,1111 East McDowell Road Phoenix AZ 85006,0,1,3.5,
BXKhaF0EeDnycbqgKzDuJQ,Health,1920 E Cambridge Ave Phoenix AZ 85006,1,0,4.0,
JTiqc8D0MJpYbnObHuNA9w,Health,1331 N 7th St Phoenix AZ 85006,1,0,2.5,
k7xAg1QhK_8wze3BYWglRQ,Health,1300 N 12th St Phoenix AZ 85006,1,0,3.5,
aOtx6bMU5M-Q_cNxhB0wYw,Health,16611 S 40th St Ste 180 Phoenix AZ 85048,1,0,3.5,
K4yExVqUtW2sRE4grXU8Zw,Health,3877 N 7th St Ste 400 Phoenix AZ 85014,1,0,5.0,
9JFmuEuUzt8VSUisejFrtg,Health,1112 E McDowell Rd Phoenix AZ 85006,1,0,3.5,
F0GTuvM68Qcyx_o-xXAu6g,Health,755 E McDowell Rd Phoenix AZ 85006,1,0,4.0,
lZFUmxcvjD8LdzyTYXBd_A,Health,Phoenix AZ 85034,1,0,4.5,
a-XWQ4HyxJEctlowO8rXwQ,Health,690 N Cofco Center Ct Ste 290 Phoenix AZ 85008,1,0,3.5,
7_pBQ2IJKxAumHl8hMAPXA,Health,2601 E Roosevelt St Phoenix AZ 85008,0,0,4.0,
C65dADtWHaAU_nJV2dcwbQ,Health,2525 E Roosevelt St Phoenix AZ 85008,0,0,4.5,
uuv2IsWkbW7zdyYfWbU_Mw,Health,2301 N. 44th Street Phoenix AZ 85008,0,0,2.0,
Dhtmf-d3A750x2ttWeRg0Q,Health,2303 N 44th St Ste 15 Phoenix AZ 85008,0,0,3.0,
Mbh2RH0MGCmDpp9ulvdxaw,Health,3003 N Central Ave Ste 630 Phoenix AZ 85012,1,0,4.0,
2BcNZqbEY9x3F2hcs5GUhg,Health,213 E Monterey Way Phoenix AZ 85012,1,0,4.0,
eovEq5kDSdf0WF_P_bD2Uw,Health,1313 E Osborn Rd Ste 250 Phoenix AZ 85012,1,0,3.5,
-TIyxSc-lLmJzunje6MD9Q,Health,Carl T Hayden VA Medical Center 650 E Indian School Rd Phoenix AZ 85012,1,0,3.0,
DeuczlKSckFFFV2IVR8EVQ,Health,301 E Bethany Home Rd Phoenix AZ 85012,1,1,5.0,
1_ksgP_VSwFx0yBUAV3T4A,Health,5056 N Central Ave Phoenix AZ 85012,1,0,4.0,
epXH-NxReRzcJzpMyBEXNw,Health,333 E Osborn Rd Ste 255 Phoenix AZ 85012,1,0,5.0,
3KwmkeqyC-STUvTcPOxsCw,Health,730 E Highland Ave Phoenix AZ 85014,0,0,5.0,
nreEQ3b-cSZgT0S5oxj7yw,Health,740 E Highland Ave Ste 200 Phoenix AZ 85014,1,0,5.0,
gztTQsgq6FJwIoV4P4RNIw,Health,5727 N 7th St Ste 105 Phoenix AZ 85014,1,1,5.0,
_4VapLIt_vHJ0iL_qnMzeQ,Health,5050 N 8th Pl Phoenix AZ 85014,1,0,1.5,
gDFNqSgiwrqCjXlsaNdfKQ,Health,1550 E Maryland Ave Ste 2 Phoenix AZ 85014,1,0,4.5,
IZvR2t778V-3PqopbsZdeg,Health,4767 N 20th St Phoenix AZ 85016,0,0,5.0,
RqZctFR39-ZFkBEFTA1GyQ,Health,2425 E Camelback Rd Suite 106 Phoenix AZ 85016,1,1,4.0,
p2rwsM4zoQ32jeybGYPT-A,Health,4212 N 16th St Phoenix AZ 85016,1,0,2.0,
3qBJAudFUukKfSrVVUFknQ,Health,2302 N 15th Ave Phoenix AZ 85007,1,0,3.5,
mDaplgVVdXUNZ1cHD-NtYg,Health,5155 N 16th St Phoenix AZ 85016,1,0,5.0,
NITZJoVV6100STzn4WBfPg,Health,1802 E Thomas Rd Ste 16 Phoenix AZ 85016,1,0,5.0,
CxDF-UmfKGmWdrNHPi028A,Health,Phoenician Dentistry 5155 N 16th St Phoenix AZ 85016,1,0,5.0,
oZdqBEQLwl85jEQKL6XMPQ,Health,5002 S Mill Ave Tempe AZ 85282,1,1,3.0,
ZPkomfeRH2pflacWf7U3-A,Health,2222 E Highland Ave Ste 425 Phoenix AZ 85016,0,0,5.0,
cQx6Tbzs7zMWCbDfZ4PBJQ,Health,1645 E Camelback Rd Phoenix AZ 85016,0,0,2.0,
0eX3fQIVekKGbEISfhcQwg,Health,2333 E Campbell Ave Phoenix AZ 85016,1,0,4.5,
4R8uKEIwTVzHGLa3Edub0Q,Health,4800 North 22nd Street Phoenix AZ 85016,1,0,3.5,
c_PhRjEIA2jRAvWDWsn4Vg,Health,4131 N 24th St Ste B102 Phoenix AZ 85016,1,0,3.0,
9zlpLPhXYwK_STi2u8DjxQ,Health,2222 E Highland Ave Ste 318 Phoenix AZ 85016,1,0,3.0,
oMmTeuxyY-wFEstvXCOKaQ,Health,4619 N 24th St Phoenix AZ 85016,1,0,5.0,
oQpq9f0HkS-_8RXlcsMiUg,Health,2222 E Highland Ave Ste 320 Phoenix AZ 85016,1,0,3.5,
7fEuPnwHDdt0dYXiBPONFg,Health,2222 E Highland Ave Ste 320 Phoenix AZ 85016,1,0,3.5,
ti3-TiY1y6X8-VJMGNMJnQ,Health,2103 E Camelback Rd Phoenix AZ 85016,0,1,4.0,
ymcy1g4fRDrQnzSI9HG8SQ,Health,4214 E Indian School Rd Ste 102 Phoenix AZ 85018,0,0,5.0,
aYZiWuBtchYp6N2udVtTLg,Health,3714 E Indian School Rd Phoenix AZ 85018,1,0,5.0,
yS6tXY9skBQ4eLZLQaDlEg,Health,4250 E Camelback Rd Ste K100 Phoenix AZ 85018,1,0,4.0,
JF2vAMmV6GQBoQUgAfklBg,Health,4400 N 32nd Street Phoenix AZ 85018,1,0,5.0,
s4gUV_zb8EeYosek2GBB4Q,Health,2929 East Camelback Road Suite 110 Phoenix AZ 85016,1,0,4.5,
