Business Id,Business Name,Address,Alcohol,Dancing,Noise Level,Stars
WETE_LykpcnrC1sFcQ5EGg,Pubs And Bars,215 E Main St Carnegie Carnegie PA 15106,1,0,"average",3.5,
1qCuOcks5HRv67OHovAVpg,Pubs And Bars,122 W 8th Ave Homestead Homestead PA 15120,1,0,"loud",3.5,
YRDKsBFYP7G0E8BLJKIkvA,Pubs And Bars,403 E Ohio St North Side Pittsburgh PA 15212,1,0,"average",4.0,
IxQ1ATP_Wg_QujO9nywzcQ,Pubs And Bars,537 Suismon St North Side Pittsburgh PA 15212,1,0,"average",4.0,
2X5G4Ujq0s4Wfn4TC7gX0g,Pubs And Bars,1118 S Braddock Ave Pittsburgh PA 15218,1,0,"loud",4.5,
6xEl2PDJulIp1PfWqa7-aA,Pubs And Bars,2329 Penn Ave Strip District Pittsburgh PA 15222,1,0,"average",3.5,
3zgswf_NfBJpeAoWeTkgMA,Pubs And Bars,5135 Liberty Ave Bloomfield Pittsburgh PA 15224,1,0,"average",4.0,
3obPG5F_6rbAu86CuiNW4g,Pubs And Bars,1500 Washington Rd Pittsburgh PA 15228,1,0,"quiet",2.0,
mugOAOmylJu5p85Jz_zqOQ,Pubs And Bars,4 Bower Hill Rd Pittsburgh PA 15228,1,0,"quiet",4.5,
ePP0Eqz8JKSbtdt2phiB4A,Pubs And Bars,401 W 9th St Fourth Ward Charlotte NC 28202,1,0,"average",4.0,
WuCcv_Dyd_1B_1-4jwK7sQ,Pubs And Bars,208 N Tryon St First Ward Charlotte NC 28202,1,0,"average",3.5,
ym9QwkmB5ZKTyj7q5huTDw,Pubs And Bars,401 N Tryon St Ste 100 Fourth Ward Charlotte NC 28202,1,0,"average",3.5,
EwuvZCcVHkICgTbqCEjikA,Pubs And Bars,601 S Cedar St Uptown Charlotte NC 28202,1,1,"average",3.0,
t5l-H2KdY4MQgLDMENz9WQ,Pubs And Bars,214 N Church St Fourth Ward Charlotte NC 28202,1,0,"average",3.5,
jmzPbvE_02SzTAjwZCTgYA,Pubs And Bars,115 E 5th St First Ward Charlotte NC 28202,1,0,"loud",3.5,
F-e-sWfVd3eCYll3BP1QFA,Pubs And Bars,9605 N Tryon St Ste A University City Charlotte NC 28262,1,0,"loud",4.0,
HTplzElel_F_U_qhWuDKdg,Pubs And Bars,301 North St Eken Park Madison WI 53704,1,0,"average",3.5,
MVH3JOKpQvMTP4jxwBUhkA,Pubs And Bars,604 E Green St Champaign IL 61820,1,0,"loud",4.0,
6X7vAFv-Xj1TPcrJK7H2Eg,Pubs And Bars,105 N Market St Champaign IL 61820,1,0,"loud",4.0,
