Business Id,Business Name,Address,Parking,Price Range,Wheelchair Accessibility,Music,Stars
HZdLhv6COCleJMo7nPl-RA,Shopping,301 S Hills Vlg Pittsburgh PA 15241,0,0,0,0,3.5,
yHTLTr-QN-loO_7XoxS8qg,Shopping,660 Waterfront Dr E Homestead Munhall PA 15120,1,2,0,0,3.0,
57HN9fGRar_GckBmgHgemA,Shopping,280 Waterfront Dr E Homestead Homestead PA 15120,0,2,1,0,4.0,
gClSqcwuLsgyZRCzhJc7Dg,Shopping,690 Waterfront Dr E Homestead Homestead PA 15120,1,2,0,0,2.5,
eT5Ck7Gg1dBJobca9VFovw,Shopping,420 Waterfront Dr E Homestead Homestead PA 15120,1,2,1,0,3.5,
HwwEfnZKLNOUoqfgcwAgcQ,Shopping,100 W Bridge St Homestead Homestead PA 15120,1,2,1,0,3.5,
Y4CcDDyMoDpK7BbpKawWjw,Shopping,401 E 8th Ave Homestead Homestead PA 15120,1,2,1,0,5.0,
XhbC5Qj5nBcqcKLPRd8izQ,Shopping,229 W Bridge St Homestead Homestead PA 15120,1,3,0,0,2.0,
oPX8bpZ3dqviYQuic0Ahqw,Shopping,112 W Bridge St Homestead Homestead PA 15120,0,2,0,0,4.0,
ISKLP0qxApATxRlUDob6Cg,Shopping,360 Waterfront Dr E Homestead Homestead PA 15120,1,2,1,0,3.5,
DMy5IG-dNrH4ARk96KngEA,Shopping,324 Amity St. Homestead Homestead PA 15120,0,3,0,0,3.5,
rdATJvFQK4C73NIQ3zoY3w,Shopping,520 East Waterfront Drive Homestead Homestead PA 15120,1,2,0,0,4.0,
g10zmpUzmMJOOIjj_JJPvg,Shopping,490 Waterfront Dr E Homestead Homestead PA 15120,1,2,0,0,3.5,
LQFWH1AKJlXGmEBlIKsBCw,Shopping,580 Waterfront Dr E Homestead Homestead PA 15120,0,2,0,0,4.0,
LO2CjrNL8DXkvm9uALgRjQ,Shopping,460 Waterfront Dr E Homestead Homestead PA 15120,0,2,0,0,3.0,
qfL7ZFkxqDZOPIaVVfT3Aw,Shopping,560 E Waterfront Dr Homestead Homestead PA 15120,1,2,0,0,3.0,
GlYPVYSOVT7zn00Kk_Oz4g,Shopping,The Waterfront 350 East Waterfront Drive Homestead Homestead PA 15120,1,3,1,0,2.5,
4ykgzzzGEWjMD5lwk1-l9A,Shopping,347 Lebanon Rd West Mifflin PA 15122,1,3,1,0,4.5,
iwZqvirc-2e0t8lQEXBlvA,Shopping,1806 Homeville Rd West Mifflin PA 15122,0,4,0,0,3.0,
imM-x_nAxVtYGVFJJ4FS3Q,Shopping,1122 E Carson St South Side Pittsburgh PA 15203,0,2,0,0,3.0,
kKmvSJ6Z8UVPdrnL74bqrg,Shopping,935 Ohio River Blvd Avalon Pittsburgh PA 15202,1,1,0,0,4.0,
CxAupi9tjzTaGG5Fasu9Eg,Shopping,1234 Straka St Crafton Heights Pittsburgh PA 15204,0,0,0,0,5.0,
BG4N0V93wml9kaU6YYRxRA,Shopping,6320 Shakespeare St Ste 7 Shadyside Pittsburgh PA 15206,1,2,1,0,2.5,
vXBc-i30S0eypUVy7TA6cw,Shopping,6100 Penn Ave East Liberty Pittsburgh PA 15206,1,2,0,0,2.0,
Nnk1gNKSi_12ziNuK2llxA,Shopping,235 S Highland Ave Shadyside Pittsburgh PA 15206,0,4,0,0,3.5,
qA1PXTv0snTO1gpNPm-Jfw,Shopping,400 N Highland Ave East Liberty Pittsburgh PA 15206,1,2,1,0,3.0,
XC9blQA9Mk4w7oKVJ0nJXw,Shopping,200 S Highland Ave Shadyside Pittsburgh PA 15206,0,2,1,0,4.5,
bockWFDA3mzjuujY7tOcaw,Shopping,525 E Ohio St North Side Pittsburgh PA 15212,1,3,0,0,3.0,
H9R8b2pgn3NQhQHesEUEiQ,Shopping,2904 W Liberty Ave Dormont Pittsburgh PA 15216,1,2,0,0,3.5,
0sIumiRwbjhT71ltLIZqqQ,Shopping,1651 McFarland Rd Pittsburgh PA 15216,1,4,1,0,3.5,
Wnn1GtvvtnkFdPfdRcYW-Q,Shopping,2892 W Liberty Ave Dormont Pittsburgh PA 15216,1,2,1,0,4.5,
dWVFS5Jiu6Ee7vOLc2T6-w,Shopping,2693 W Liberty Ave Brookline Pittsburgh PA 15216,0,0,0,0,5.0,
bufORugql7KgD_d5KvhxDQ,Shopping,1685 McFarland Rd Pittsburgh PA 15216,0,2,0,0,4.0,
T6P49PTjPAy7BzyGtscLqw,Shopping,297 Beverly Rd Pittsburgh PA 15216,1,2,0,0,5.0,
oTojBCc-Lex09Fww3QmWWg,Shopping,2515 Banksville Rd Banksville Pittsburgh PA 15216,0,2,0,0,3.5,
YSwiLSkOzH-gQU6PVJ9kmA,Shopping,1700 Monongahela Ave Pittsburgh PA 15218,0,2,0,0,2.5,
V4rrrgVfAVwCI2737bhLIQ,Shopping,1039 S Braddock Ave Pittsburgh PA 15218,0,2,0,0,4.0,
SNJHgqJPj5SZhntFdsDUeg,Shopping,1775 S Braddock Avenue Pittsburgh PA 15218,1,2,0,0,2.0,
EiKoZpEcjG1B_r8G9laAxg,Shopping,1960 Greentree Rd Pittsburgh PA 15220,1,2,1,0,4.0,
c1ixeRdwTvNt6YLew-sSCg,Shopping,1165 McKinney Ln West End Pittsburgh PA 15220,1,1,1,0,1.0,
Jj7EE1vPUaKHykA7WzlIew,Shopping,2800 Penn Ave Strip District Pittsburgh PA 15222,0,2,0,0,4.0,
9oto9YGsXjGMW6tLV9S3aQ,Shopping,Aveda Day Spa 4900 Hatfield St Lawrenceville Pittsburgh PA 15201,0,3,0,0,3.0,
4tMGXYHN_0o0B6mnuYHhmg,Shopping,527 Smithfield St Downtown Pittsburgh PA 15222,0,3,0,0,2.0,
porUqRPcw8GoTSvZoMH0ag,Shopping,2100 Smallman St Strip District Pittsburgh PA 15222,1,3,1,0,4.0,
gX96CYY9T3K-jiippnnXDA,Shopping,817 Liberty Ave Suite J Downtown Pittsburgh PA 15222,0,2,0,0,2.0,
lRM-3Fwp3RkK-wecxO8P8w,Shopping,513 Smithfield St Downtown Pittsburgh PA 15222,0,0,0,0,3.0,
cWe1Xoczmj2vD5h6BOrZYg,Shopping,413 Wood St Downtown Pittsburgh PA 15222,1,3,0,0,2.0,
jnzSNWoOjBityIjb0tZRSg,Shopping,2650 Penn Ave Strip District Pittsburgh PA 15222,1,2,1,0,4.5,
7RjZEeULcE7ohRNjfhBn1A,Shopping,915 Liberty Ave Downtown Pittsburgh PA 15222,1,3,1,0,4.0,
NqmdaI1GX8LOTRYlMGlTsw,Shopping,2115 Penn Ave Strip District Pittsburgh PA 15222,0,2,0,0,4.5,
F1dtFd0GnSioCfIo4gAtkw,Shopping,2124 Penn Ave Strip District Pittsburgh PA 15222,1,2,0,0,3.5,
Z_6hNWPNC0O-IVZ5m3kBtg,Shopping,1736 Penn Ave Strip District Pittsburgh PA 15222,0,0,0,0,4.5,
AehuBK7aJZM76mAmQ7KL2w,Shopping,601 Wood St Downtown Pittsburgh PA 15222,1,1,0,0,4.0,
7XX-2YyRTLVvki-qsM3sVQ,Shopping,1645 Penn Ave Strip District Pittsburgh PA 15222,0,0,0,0,5.0,
h5zKLqoNlMozvxdkRzSiYQ,Shopping,339 6th Ave Downtown Pittsburgh PA 15222,1,1,1,0,3.5,
3G8_qVxaTkkO5b70_H8YDA,Shopping,4931 Penn Ave Garfield Pittsburgh PA 15224,1,1,0,0,3.0,
S6_IpnAJC-jyYoaJ_v5HYQ,Shopping,5123 Penn Ave Garfield Pittsburgh PA 15224,0,1,0,0,4.0,
OmAWp8kUqXrW0umGdZgNUg,Shopping,4526 Liberty Ave Bloomfield Pittsburgh PA 15224,0,2,1,0,5.0,
HzZmhlRNLtPkMI0egh9Oig,Shopping,5003 Penn Ave Garfield Pittsburgh PA 15224,1,1,0,0,5.0,
_y7PECWjxr_E-hhmDVdEjw,Shopping,4723 Liberty Ave Bloomfield Pittsburgh PA 15224,0,0,0,0,5.0,
pmvTuJJ-4A4XggDWYK-8WQ,Shopping,4727 Liberty Ave Bloomfield Pittsburgh PA 15224,0,2,0,0,5.0,
l3N07ZNUCTgooKAoJcxQZQ,Shopping,4822 Liberty Ave Bloomfield Pittsburgh PA 15224,0,0,0,0,2.5,
cKtBFMESwsUWxTv6QjkTGQ,Shopping,890 Saw Mill Run Blvd Bon Air Brookline PA 15226,1,1,0,0,3.5,
0vvN8OpWZnzYZkDWMs3f8w,Shopping,691 Washington Rd Mount Lebanon PA 15228,0,0,0,0,3.5,
i5bPwhPg6GqXvWMdl8a_SA,Shopping,2975 W Liberty Ave Dormont Pittsburgh PA 15216,1,4,1,0,4.0,
3obPG5F_6rbAu86CuiNW4g,Shopping,1500 Washington Rd Pittsburgh PA 15228,0,3,0,0,2.0,
jLgIlhi_A78JG-43C8e63Q,Shopping,600 Washington Rd Pittsburgh PA 15228,1,2,1,0,4.0,
IrI9nBmRKIGFYnnmrHeqtQ,Shopping,725 Washington Rd Pittsburgh PA 15228,1,2,0,0,5.0,
NaRkccIbBE3gt-3fne_bDA,Shopping,1500 Washington Rd Pittsburgh PA 15228,1,3,1,0,3.0,
oItmTIocKzvXlLgJhzQ5qw,Shopping,328 Cochran Rd Pittsburgh PA 15228,0,2,0,0,3.5,
yeOblic0w0FOlXwMhuGjwA,Shopping,1500 Washington Rd Pittsburgh PA 15228,0,3,0,0,4.0,
yp4Erq_kG7Zi6Bssc07Oxg,Shopping,5502 Walnut St Shadyside Pittsburgh PA 15232,1,2,0,0,4.0,
bbfdJ1dkwWNww1m_SfyDnQ,Shopping,5850 Ellsworth Ave Shadyside Pittsburgh PA 15232,1,2,1,0,4.5,
NUohh--5lVY8pu61uy9oEw,Shopping,5892 Ellsworth Ave Shadyside Pittsburgh PA 15232,1,2,0,0,4.0,
Ig74RHJuf1DbDmJNWQ-HpQ,Shopping,5443 Walnut St Shadyside Pittsburgh PA 15232,1,3,0,0,4.0,
jwxhi--674LLCnvqJL7SRQ,Shopping,5522 Walnut St Shadyside Pittsburgh PA 15232,1,2,0,0,4.5,
bcJ005JZRd4tkNb7i6oynA,Shopping,5421 Walnut St Shadyside Pittsburgh PA 15232,1,2,0,0,4.0,
4q2nThFVuU3BZoEMkYQ1yg,Shopping,5542 Walnut St Shadyside Pittsburgh PA 15232,1,3,0,0,4.0,
Lgyc-00L5pAELhjwUjAz-w,Shopping,5504 Walnut St Shadyside Pittsburgh PA 15232,1,2,0,0,3.5,
BxNXiZaAi6OSpUSFXI5KDw,Shopping,5401 Walnut St Shadyside Pittsburgh PA 15232,0,0,0,0,4.5,
-XU3QZBluANMAvzS9xGQAg,Shopping,810 Bellefonte St Shadyside Pittsburgh PA 15232,1,2,1,0,4.5,
_iZjif9s-jF_Oju_1fhVog,Shopping,5501 Walnut St Shadyside Pittsburgh PA 15232,1,4,1,0,4.0,
VJG4T5gCHqav9Y96upKgUw,Shopping,The Collection 732 Filbert St Shadyside Pittsburgh PA 15232,1,2,0,0,5.0,
pmikYgE5m0MblL6vl49GQA,Shopping,732 Filbert St Shadyside Pittsburgh PA 15232,0,1,0,0,4.5,
5Tc2MYU5YO35JYW6fh1eaA,Shopping,5411 Walnut St Shadyside Pittsburgh PA 15232,0,4,0,0,4.0,
n1dklY6GFnpVLKwQE6kxGw,Shopping,Walnut Street - Pittsburgh 5436 Walnut St. Shadyside Pittsburgh PA 15232,1,2,0,0,3.5,
Nc6HP6jO3s2I02sCpIe6rQ,Shopping,5504 Centre Ave Shadyside Pittsburgh PA 15232,0,3,0,0,2.5,
nHEcQdTfzaaBLIYf6BV3hg,Shopping,5416 Walnut St Shadyside Pittsburgh PA 15232,0,4,0,0,3.0,
MW0EsqEBHmasU0vHYhRYcw,Shopping,5505 Walnut St Shadyside Pittsburgh PA 15232,0,2,0,0,3.0,
iEnerduM05ZyzOYJt3w18A,Shopping,738 Copeland St Shadyside Pittsburgh PA 15232,0,3,0,0,3.0,
QlHQzegL2Ew3z5YgK0ZeOw,Shopping,5514 Walnut St Shadyside Pittsburgh PA 15232,1,3,1,0,4.0,
PhEqWW5A6b3bOwci02azYA,Shopping,5301 Grove Rd Pittsburgh PA 15236,0,3,0,0,5.0,
jrW-kJr9G8_CQK-o-QxH6A,Shopping,954 Freeport Rd Pittsburgh PA 15238,1,1,0,0,3.5,
AK8T92URfkOUoTAVd7l2EA,Shopping,910 Freeport Rd Pittsburgh PA 15238,1,2,0,0,3.5,
XxWRdwYhYqBeUelix0qSFg,Shopping,926 Old Freeport Rd Pittsburgh PA 15238,1,2,0,0,4.5,
nO4RO__VwwSN4gehjGdRDQ,Shopping,843 Freeport Rd Pittsburgh PA 15238,0,3,0,0,3.5,
rBfBuT0yK7ypKiR8YeV-Lg,Shopping,966 Freeport Rd Pittsburgh PA 15238,0,3,1,0,2.5,
CnsdO-1gBlFaA7s-OexmyA,Shopping,468 Freeport Rd Pittsburgh PA 15238,1,3,1,0,5.0,
Fxwvp0igvTu6ZI4w-eNkwg,Shopping,217 Freeport Rd Pittsburgh PA 15238,1,2,1,0,5.0,
5z1TluGqhwVYrN7ZZPDW6g,Shopping,2212 Noblestown Rd Ste 6 West End Pittsburgh PA 15205,1,2,1,0,4.5,
P_Ks4SYvo_m4pHlPE8rOUQ,Shopping,6507 W Wilkinson Blvd Belmont NC 28012,1,2,0,0,3.5,
X52stQurJ042wHifv9ZwRA,Shopping,2 Caldwell Dr Belmont NC 28012,0,3,0,0,3.5,
iUTjkl0PGu5PVCPqKaLc_g,Shopping,11009 Carolina Place Pkwy Pineville NC 28134,1,2,0,0,3.0,
nOkZzMBNNGRRFMD1iwPLfw,Shopping,11516 Carolina Place Pkwy Pineville NC 28134,0,3,0,0,2.5,
efOhcTb4a8W0owxujAFp2A,Shopping,11415 Carolina Place Pkwy Pineville NC 28134,1,2,1,0,3.0,
FnmlFsoEp4HJyqidZRQ_-g,Shopping,11025 Carolina Place Pkwy Pineville NC 28134,0,2,0,0,3.0,
yzdBzVJ5nMflHwTH0MJzOA,Shopping,9600 Pineville Matthws Rd Pineville NC 28134,1,2,0,0,2.5,
3pXGiCB0Db8ALF5-kLXrmA,Shopping,11715 Carolina Place Pkwy Pineville NC 28134,1,2,0,0,3.0,
YzK-OxLEvxF7_8O4BElhUg,Shopping,11300 Carolina Place Pkwy Pineville NC 28134,1,2,1,0,3.0,
ZCGUnRUyD8RcOqqd1bbd4A,Shopping,Carolina Place Mall Pineville NC 28134,0,0,0,0,3.5,
AJyJOJKVDWrcIvgAX83eAA,Shopping,10210 Centrum Pkwy Pineville NC 28134,1,2,1,0,3.5,
SmxYzoYDxMRMahF-PO7gHg,Shopping,10420-D Centrum Parkway The Centrum Shopping Center Pineville NC 28134,1,2,0,0,4.0,
5BCW9vDG1YRFqb55XfaNow,Shopping,11025 Carolina Place Pkwy Pineville NC 28134,0,2,0,0,2.0,
LokdfAyRsvzyoL_FG8A32Q,Shopping,11235 Carolinia Place Pkwy #A Pineville NC 28134,0,3,0,0,4.0,
_yZbIA76UR0cIgoq0jM5zQ,Shopping,9101 Pineville Matthws Rd Pineville NC 28134,1,1,1,0,3.0,
3RUAaZUyAf496YVID7bi1w,Shopping,10500 Centrum Parkway Pineville NC 28134,1,1,0,0,2.5,
IN802r0RXjETAuQh6jS4JQ,Shopping,11500 Carolina Place Pkwy Pineville NC 28134,0,2,0,0,4.0,
rhmNETrxnZUcCOq--0iWaw,Shopping,11017 Carolina Place Pkwy Pineville NC 28134,1,2,0,0,4.0,
NRS-Snzp3Izblw2OmmlsuQ,Shopping,10600 Centrum Pkwy Pineville NC 28134,1,2,0,0,2.5,
CyZ9PCtYv1hKeyTtWx__aw,Shopping,11025 Carolina Place Parkway Pineville NC 28134,1,2,1,0,3.5,
H0S3kzLoL41WUjYe7mnVgw,Shopping,11041 Carolina Place Pkwy Pineville NC 28134,1,2,0,0,3.0,
h9PB44171nY0EYL7ugbQrg,Shopping,11025 Carolina Place Pkwy Ste B7 Pineville NC 28134,0,3,0,0,3.0,
VsoLWxAIwAsz08Mc2bkyWA,Shopping,9610 Pineville-Matthews Rd Pineville NC 28134,1,2,0,0,4.0,
UlY2l61fqYgOa1dvogNCRw,Shopping,9530 Pineville Matthews Rd Pineville NC 28134,1,3,1,0,3.0,
tsTbZguRHty8FwIXCJDWTA,Shopping,10201 Industrial Dr Pineville NC 28134,0,0,0,0,1.0,
6DDXjYE9g6KVH0qP_jJiUg,Shopping,721 N Tryon St Fourth Ward Charlotte NC 28202,1,0,1,0,4.5,
S-JGnMWqetTwpZdzP5tDzw,Shopping,345 N College St First Ward Charlotte NC 28202,1,1,1,0,4.0,
fHovFhbYJcy6y4oosMhM_A,Shopping,3327 Pineville Matthews Rd Arboretum Charlotte NC 28226,0,2,0,0,3.5,
ZEM2xQshu0KC-x8OhGhPdg,Shopping,316 S Tryon St Uptown Charlotte NC 28202,1,1,1,0,3.5,
LrXCQvkrdn9GloF6CyrRNQ,Shopping,100 N Tryon St Ste 265 2nd Fl First Ward Charlotte NC 28202,0,2,1,0,3.0,
3hSmumIW-aqMjfmFMW4bew,Shopping,601 S Kings Dr Ste L Myers Park Charlotte NC 28204,0,2,0,0,5.0,
Yn4cNkvCw6PhM6KISEGpAg,Shopping,308 S Sharon Amity Rd Cotswold Shopping Center Cotswold Charlotte NC 28211,0,3,1,0,2.5,
Ku9PGxJPWFPotM1wOTVCNA,Shopping,Park Road Shopping Center 4139 Park Rd Sedgefield Charlotte NC 28209,1,2,1,0,4.0,
NTdjSqgsLIVZfl0JnE7LVg,Shopping,4147 Park Rd Charlotte NC 28209,0,2,0,0,4.0,
zQOvb29OxZ-NCBnKSyHfYg,Shopping,9651-800 Brookdale Dr Charlotte NC 28215,0,0,0,0,3.5,
ATXEtkAUUE1uRquP1M7yGQ,Shopping,11425 Carolina Place Pkwy Pineville NC 28134,1,2,0,0,2.5,
m-XMNHUfuniMD3DR4AC_ig,Shopping,125 Remount Rd Ste C-2 South End Charlotte NC 28203,1,3,1,0,4.0,
6YZ2oV54z160Zrf9QQkcJQ,Shopping,7100 Statesville Rd Derita Charlotte NC 28269,1,2,0,0,3.5,
f8DYp9K4WGkWJYebxIABfA,Shopping,9551 South Blvd Carolina Pavilion Charlotte NC 28273,1,2,1,0,3.0,
BLaazQ4UBuUWh0AeaH2ZIg,Shopping,4705 Savings Place Suite 113 Uptown Charlotte NC 28202,0,0,0,0,3.0,
A3s4DU0K5AXSMyAcQ6aaZw,Shopping,601 S Kings Dr Myers Park Charlotte NC 28204,0,1,1,0,4.0,
zpTHs8AqhDg_uKFG4MeR8A,Shopping,1733 E 7th St Elizabeth Charlotte NC 28204,1,2,1,0,4.0,
HRK09g-oqBZ2iFoAqI4HPw,Shopping,339 S Kings Dr Myers Park Charlotte NC 28204,1,0,0,0,3.5,
STcLx0y_X89TsC0m2gVgHw,Shopping,1945 E 7th St Elizabeth Charlotte NC 28204,1,1,1,0,4.0,
EQDq4hZ45hDEHaWn6yuZyg,Shopping,805 S Kings Dr Myers Park Charlotte NC 28204,1,3,1,0,3.5,
