Business Id,Business Name,Address,Alcohol,Dancing,Noise Level,Stars
WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,215 E Main St Carnegie Carnegie PA 15106,1,0,"average",3.5,
1qCuOcks5HRv67OHovAVpg,Duke's Upper Deck Cafe,122 W 8th Ave Homestead Homestead PA 15120,1,0,"loud",3.5,
YRDKsBFYP7G0E8BLJKIkvA,The Park House,403 E Ohio St North Side Pittsburgh PA 15212,1,0,"average",4.0,
IxQ1ATP_Wg_QujO9nywzcQ,Max's Allegheny Tavern,537 Suismon St North Side Pittsburgh PA 15212,1,0,"average",4.0,
2X5G4Ujq0s4Wfn4TC7gX0g,D's Six Pax & Dogz,1118 S Braddock Ave Pittsburgh PA 15218,1,0,"loud",4.5,
6xEl2PDJulIp1PfWqa7-aA,Mullaneys Harp and Fiddle,2329 Penn Ave Strip District Pittsburgh PA 15222,1,0,"average",3.5,
3zgswf_NfBJpeAoWeTkgMA,Silky's Pub,5135 Liberty Ave Bloomfield Pittsburgh PA 15224,1,0,"average",4.0,
3obPG5F_6rbAu86CuiNW4g,Jernigan's Tobacco Village,1500 Washington Rd Pittsburgh PA 15228,1,0,"quiet",2.0,
mugOAOmylJu5p85Jz_zqOQ,The Korner Pub,4 Bower Hill Rd Pittsburgh PA 15228,1,0,"quiet",4.5,
ePP0Eqz8JKSbtdt2phiB4A,Alexander Michael's,401 W 9th St Fourth Ward Charlotte NC 28202,1,0,"average",4.0,
WuCcv_Dyd_1B_1-4jwK7sQ,Rí Rá Irish Pub,208 N Tryon St First Ward Charlotte NC 28202,1,0,"average",3.5,
ym9QwkmB5ZKTyj7q5huTDw,Rock Bottom Restaurant & Brewery,401 N Tryon St Ste 100 Fourth Ward Charlotte NC 28202,1,0,"average",3.5,
EwuvZCcVHkICgTbqCEjikA,Hartigan's Irish Pub,601 S Cedar St Uptown Charlotte NC 28202,1,1,"average",3.0,
t5l-H2KdY4MQgLDMENz9WQ,Stool Pigeons Coop & Grill,214 N Church St Fourth Ward Charlotte NC 28202,1,0,"average",3.5,
jmzPbvE_02SzTAjwZCTgYA,Connolly's On Fifth,115 E 5th St First Ward Charlotte NC 28202,1,0,"loud",3.5,
F-e-sWfVd3eCYll3BP1QFA,Flying Saucer Draught Emporium,9605 N Tryon St Ste A University City Charlotte NC 28262,1,0,"loud",4.0,
HTplzElel_F_U_qhWuDKdg,Dexter's Pub,301 North St Eken Park Madison WI 53704,1,0,"average",3.5,
MVH3JOKpQvMTP4jxwBUhkA,Murphy's Pub,604 E Green St Champaign IL 61820,1,0,"loud",4.0,
6X7vAFv-Xj1TPcrJK7H2Eg,Mike N Molly's,105 N Market St Champaign IL 61820,1,0,"loud",4.0,
IUhO58Il7gUEjl1RMEncHA,Farren's Pub & Eatery,308 N Randolph St Champaign IL 61820,1,0,"average",4.0,
mJxu0USvbwSHcGsmwWh22A,Cowboy Monkey,6 E Taylor St Champaign IL 61820,1,1,"very_loud",3.0,
3xEB9FyFXolq1b_Qn_BFtg,George & Dragon Restaurant,4240 N Central Ave Phoenix AZ 85012,1,0,"average",3.5,
VC0VbRhQqvXpolK3pFuZPw,HB Hanratty's,537 E Camelback Rd Phoenix AZ 85012,1,0,"average",3.5,
3UMcsN9IjoeV8JZvC4apag,SunUp Brewing Co,322 E Camelback Rd Phoenix AZ 85012,1,0,"average",3.5,
_GS1R0LTwr6h8rMWY_8U9Q,Pomeroy's,5555 N 7th St Ste 100 Phoenix AZ 85014,1,0,null,3.5,
s8KRwTTrQDSKrS3hOjwYLw,CJ's Talley's Pub,6022 N 16th St Phoenix AZ 85016,1,0,"loud",4.0,
Pfb6VOIiroqDWOebfgWGPQ,Phoenix City Grille,5816 N 16th St Phoenix AZ 85016,1,0,"average",4.0,
4f1b_-ceB9S3olRqGujh6w,Pat Murphy's,3215 E Thomas Rd Phoenix AZ 85018,1,0,null,4.0,
vFJmFFfPVhHkC3bWOeZnNA,Casey Jones Grill,2848 E Bell Rd Phoenix AZ 85032,1,0,"loud",4.0,
0Apb1P7RzbQEkeJDuywlPQ,George & Dragon II English Restaurant Pub,4230 S 48th St Phoenix AZ 85040,1,0,null,2.0,
g4y3_YqR4jmfCP9K0TzxrQ,Marcel's Bar & Grill,3130 E Union Hills Dr Phoenix AZ 85050,1,0,"average",3.5,
g8ewG8o0ubTUTAUDj7UZLQ,Pub'n Grub,2815 S Alma School Rd Ste 101 Mesa AZ 85210,1,0,"loud",4.0,
LzNJLEIo4gh-X_rmDkNkNg,Four Peaks Grill & Tap,15745 N Hayden Rd Ste D5-7 Scottsdale AZ 85260,1,0,"loud",4.0,
Btmq4WdwevpVWTPjhzf1YQ,Teakwood Tavern and Grill - Gilbert,151 E Williams Field Rd Ste 112 Gilbert AZ 85296,1,0,"very_loud",3.5,
jIqbggyfbv37DgMk0_780A,Cheers,5915 W Bell Rd Glendale AZ 85308,1,0,"average",3.5,
muqFM9Hoamh_fGL4MPeZqg,Fado Irish Pub,9470 Eastern Ave Southeast Las Vegas NV 89123,1,0,null,3.5,
IALHPP1RDtpXV9KnUM0EQQ,PT's,4604 W Sahara Ave Suite #10 Westside Las Vegas NV 89102,1,0,"average",3.5,
ATPpSwo9LO03wcBUAVhrjQ,Jack's Pub,Palace Station Hotel & Casino 2416 W Sahara Ave Las Vegas NV 89102,1,1,"average",2.5,
xNyTjXh2FRuT4Z8Ncj9WhA,PT's,2280 S Nellis Blvd Sunrise Las Vegas NV 89104,1,0,"quiet",1.5,
1KG98tlQ_SXTrgE_QehYwA,Barley Pops,3328 E Charleston Blvd Downtown Las Vegas NV 89104,1,1,null,4.5,
a9Z5KKEDaC4Y4MHiRZhzzA,PT's,5355 S Decatur Blvd Las Vegas NV 89118,1,0,"average",3.5,
NNSDXtjgNUNAgQH99R0yWw,PT's,3470 E Sunset Rd Southeast Las Vegas NV 89120,1,0,"loud",3.0,
cEd4dJWJnfXFFEvDnDspyg,Mulligan's Pub,6471 Boulder Hwy Southeast Las Vegas NV 89122,1,0,"average",3.5,
56Ulj9IFRp5Pz8ufJSHXBg,PT's,8584 W Lake Mead Blvd Summerlin Las Vegas NV 89128,1,0,"average",3.5,
tGx7BSyqWDeppMvt2aQw_A,Steiner's Nevada Style Pub,1750 N Buffalo Dr Ste 115 Summerlin Las Vegas NV 89128,1,0,"average",3.5,
ibUy5WjSFnrFyWZKgzk6xQ,Santa Fe Mining Company,5021 N Rainbow Blvd Northwest Las Vegas NV 89130,1,0,"loud",3.0,
i285zrPHVijXvLrlEKjVsA,King Tut's Pub & Poker,6138 W Charleston Blvd Westside Las Vegas NV 89146,1,0,null,4.0,
X4G7Zr-7fOr1bBP4iiONuw,The Lodge At Fort Apache,5790 S Fort Apache Rd Spring Valley Las Vegas NV 89148,1,0,"average",3.0,
nV79jhp3QzgSwV49bRTxiA,PT's,6055 E Lake Mead Blvd Sunrise Las Vegas NV 89156,1,0,null,3.5,
Oi8IOoJOEX9JZYK65fUrrA,Hambone's,4207 Butler St Lawrenceville Pittsburgh PA 15201,1,0,"average",3.5,
OWiX_AZ7hTRwTpA8kQL6Jw,Ruggers Pub,40 S 22nd St South Side Pittsburgh PA 15203,1,0,"average",4.0,
sF8rL9XOz4v48YdTucaBGQ,Piper's Pub,1828 E Carson St South Side Pittsburgh PA 15203,1,0,"average",4.5,
_WaHLgLzALd2iThQAhC-sQ,Shiloh Grill,123 Shiloh St Mt. Washington Pittsburgh PA 15211,1,0,"average",3.5,
Zww-ckcRf0fvu_yKGFZvPw,Peter's Pub,116 Oakland Ave Oakland Pittsburgh PA 15213,1,1,"very_loud",3.0,
