Business Id,Business Name,Address,Take-out,Wi-Fi,Alcohol,Good for Kids,Parking,Good For Lunch,Good For Dinner,Good For Dessert,Good For Latenight,Good For Brunch,Good For Breakfast,Stars,,
mVHrayjG3uZ_RLHkLj-AMg,Emil's Lounge,414 Hawkins Ave Braddock PA 15104,1,0,1,1,0,0,0,0,0,0,0,4.5,,
KayYbHCt-RkbGcPdGOThNg,Alexion's Bar & Grill,141 Hawthorne St Greentree Carnegie PA 15106,1,0,1,0,1,0,1,0,0,0,0,4,,
wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,2100 Washington Pike Carnegie PA 15106,1,0,1,1,0,0,0,0,0,0,0,3.5,,
fNGIbpazjTRdXgwRY_NIXA,Rocky's Lounge,1201 Washington Ave Carnegie PA 15106,0,0,1,1,0,0,0,0,0,0,0,4,,
b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,1073 Washington Ave Carnegie PA 15106,1,0,1,1,1,0,0,0,0,0,1,4.5,,
zaXDakTd3RXyOa7sMrUE1g,Barb's Country Junction Cafe,202 3rd Ave Carnegie Carnegie PA 15106,1,0,1,1,0,0,0,0,0,1,0,4,,
WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,215 E Main St Carnegie Carnegie PA 15106,1,0,1,0,1,0,1,0,1,0,0,3.5,,
rv7CY8G_XibTx82YhuqQRw,Long John Silver's,Raceway Plz Carnegie PA 15106,1,0,1,1,0,0,0,0,0,0,0,3.5,,
SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,214 E Main St Carnegie Carnegie PA 15106,1,0,1,0,0,0,0,0,0,0,0,2.5,,
wqu7ILomIOPSduRwoWp4AQ,Denny's,2180 Greentree Rd Pittsburgh PA 15220,1,0,1,1,0,0,0,0,0,1,1,4,,
P1fJb2WQ1mXoiudj8UE44w,Papa J's,200 E Main St Carnegie Carnegie PA 15106,1,0,1,1,1,0,1,0,0,0,0,3.5,,
PK6aSizckHFWk8i0oxt5DA,McDonald's,400 Waterfront Dr E Homestead Homestead PA 15120,1,0,1,1,0,0,0,0,0,0,0,2,,
sRqB6flj3GtTZIZJQxf_oA,Eat'n Park Hospitality Group,285 Waterfront Dr E Homestead Homestead PA 15120,0,0,1,0,0,0,0,0,0,0,0,2.5,,
6ilJq_05xRgek_8qUp36-g,Steak 'n Shake,650 E  Waterfront Dr Homestead Munhall PA 15120,1,0,1,1,1,0,0,0,1,0,0,2,,
MKyk4F4HSzHF8v-4cYe3Ww,Sing Sing,171 E Bridge St Homestead Homestead PA 15120,0,0,1,0,1,0,0,0,1,0,0,3.5,,
1qCuOcks5HRv67OHovAVpg,Duke's Upper Deck Cafe,122 W 8th Ave Homestead Homestead PA 15120,1,0,1,1,1,1,0,0,0,0,0,3.5,,
sbW8qHJgzEIH42B0S-3New,Dave & Buster's,180 E Waterfront Dr Homestead Homestead PA 15120,1,0,1,1,1,0,0,0,1,0,0,3,,
McikHxxEqZ2X0joaRNKlaw,Rock Bottom,171 E Bridge St Homestead Homestead PA 15120,1,0,1,1,1,0,1,0,0,0,0,3.5,,
EoAY1JSVeJriBzId8lUQwQ,Bar Louie,244 W Bridge St Homestead West Homestead PA 15120,1,0,1,0,1,0,1,0,1,0,0,2.5,,
TfvWSIAMFZ9zI3y2-K6wOA,The Dragon Chinese Cuisine,3360 Main St Munhall PA 15120,1,0,1,0,0,0,0,0,0,0,0,2.5,,
tU-YtoW339PXJmUGSix_AQ,T.G.I. Friday's,185 Waterfront Dr W Homestead Homestead PA 15120,1,0,1,1,1,0,0,0,0,0,0,2.5,,
6p9TlP2I8S4agxYMNFSDjg,Uno Pizzeria & Grill,205 East Waterfront Drive Homestead Homestead PA 15120,1,0,1,1,1,0,1,0,0,0,0,3,,
JDDeaNfb0JXD1NbznSIC9g,P F Chang's China Bistro,The Waterfront 148 W Bridge St Homestead Homestead PA 15120,1,0,1,1,1,1,1,0,0,0,0,3,,
FiXamVMgMf9U0VqFHDZSEA,Panera Bread,210 West Bridge Street Homestead West Homestead PA 15120,1,0,1,1,1,0,0,0,0,1,1,3,,
uLnDFdn011hEroQQMLmxNQ,The Pizza Company,3502 Main St Homestead PA 15120,1,0,0,1,0,0,0,0,0,0,0,3,,
eznh0XjVtv924K-KYx_ilQ,Eat'n Park Restaurant,245 Waterfront Dr E Homestead Homestead PA 15120,1,0,1,1,1,0,0,1,0,0,0,3,,
usSROUMiAgPcxV3Ym0OxMQ,Mitchell's Fish Market,185 W. Waterfront Drive Homestead Pittsburgh/Waterfront PA 15120,1,0,1,1,1,1,1,0,0,0,0,4,,
CL3tZqbYT7B5zgewKCS6-Q,McDonald's,Kennywood & Hoffman West Mifflin PA 15122,0,0,0,0,1,0,0,0,0,0,0,1,,
u22QDAON1kk0wjoTliyftw,Latina Pizza,4426 Kennywood Blvd West Mifflin PA 15122,1,0,0,0,0,0,0,0,0,0,0,4,,
53Yk2EODWnV9qHQECzeHVQ,Bellisario Pizza Shop,1842 Homeville Rd West Mifflin PA 15122,1,0,1,1,0,0,0,0,0,0,0,3.5,,
