Business Id,Business Name,Address,Parking,Price Range,Wheelchair Accessibility,Music,Stars
HZdLhv6COCleJMo7nPl-RA,Verizon Wireless,301 S Hills Vlg Pittsburgh PA 15241,1,0,0,1,3.5,
yHTLTr-QN-loO_7XoxS8qg,Michaels,660 Waterfront Dr E Homestead Munhall PA 15120,1,2,0,1,3.0,
57HN9fGRar_GckBmgHgemA,Filene's Basement,280 Waterfront Dr E Homestead Homestead PA 15120,0,2,1,1,4.0,
gClSqcwuLsgyZRCzhJc7Dg,Lowe's,690 Waterfront Dr E Homestead Homestead PA 15120,1,2,0,1,2.5,
eT5Ck7Gg1dBJobca9VFovw,Giant Eagle,420 Waterfront Dr E Homestead Homestead PA 15120,1,2,1,1,3.5,
HwwEfnZKLNOUoqfgcwAgcQ,Barnes & Noble Booksellers,100 W Bridge St Homestead Homestead PA 15120,1,2,1,1,3.5,
Y4CcDDyMoDpK7BbpKawWjw,American Buyers Discount Mattress Store,401 E 8th Ave Homestead Homestead PA 15120,1,2,1,1,5.0,
XhbC5Qj5nBcqcKLPRd8izQ,Victoria's Secret,229 W Bridge St Homestead Homestead PA 15120,1,3,0,1,2.0,
oPX8bpZ3dqviYQuic0Ahqw,Gordon Shoes,112 W Bridge St Homestead Homestead PA 15120,0,2,0,1,4.0,
ISKLP0qxApATxRlUDob6Cg,Target,360 Waterfront Dr E Homestead Homestead PA 15120,1,2,1,1,3.5,
DMy5IG-dNrH4ARk96KngEA,Men's Wearhouse,324 Amity St. Homestead Homestead PA 15120,1,3,0,1,3.5,
rdATJvFQK4C73NIQ3zoY3w,DSW Designer Shoe Warehouse,520 East Waterfront Drive Homestead Homestead PA 15120,1,2,0,1,4.0,
g10zmpUzmMJOOIjj_JJPvg,Bed Bath & Beyond,490 Waterfront Dr E Homestead Homestead PA 15120,1,2,0,1,3.5,
LQFWH1AKJlXGmEBlIKsBCw,T.J. Maxx,580 Waterfront Dr E Homestead Homestead PA 15120,0,2,0,1,4.0,
LO2CjrNL8DXkvm9uALgRjQ,Marshalls Inc,460 Waterfront Dr E Homestead Homestead PA 15120,0,2,0,1,3.0,
qfL7ZFkxqDZOPIaVVfT3Aw,Old Navy,560 E Waterfront Dr Homestead Homestead PA 15120,1,2,0,1,3.0,
GlYPVYSOVT7zn00Kk_Oz4g,Dick's Sporting Goods,The Waterfront 350 East Waterfront Drive Homestead Homestead PA 15120,1,3,1,1,2.5,
4ykgzzzGEWjMD5lwk1-l9A,Big Bang Bicycles,347 Lebanon Rd West Mifflin PA 15122,1,3,1,1,4.5,
iwZqvirc-2e0t8lQEXBlvA,American Thrift Center,1806 Homeville Rd West Mifflin PA 15122,0,4,0,1,3.0,
imM-x_nAxVtYGVFJJ4FS3Q,Cindy Esser's Floral Shop,1122 E Carson St South Side Pittsburgh PA 15203,0,2,0,1,3.0,
kKmvSJ6Z8UVPdrnL74bqrg,Red White & Blue Thrift Store,935 Ohio River Blvd Avalon Pittsburgh PA 15202,1,1,0,1,4.0,
CxAupi9tjzTaGG5Fasu9Eg,Paul's Clock Repair,1234 Straka St Crafton Heights Pittsburgh PA 15204,1,0,0,1,5.0,
BG4N0V93wml9kaU6YYRxRA,Giant Eagle,6320 Shakespeare St Ste 7 Shadyside Pittsburgh PA 15206,1,2,1,1,2.5,
vXBc-i30S0eypUVy7TA6cw,CVS Pharmacy,6100 Penn Ave East Liberty Pittsburgh PA 15206,1,2,0,1,2.0,
Nnk1gNKSi_12ziNuK2llxA,Arhaus Furniture,235 S Highland Ave Shadyside Pittsburgh PA 15206,0,4,0,1,3.5,
qA1PXTv0snTO1gpNPm-Jfw,The Home Depot,400 N Highland Ave East Liberty Pittsburgh PA 15206,1,2,1,1,3.0,
XC9blQA9Mk4w7oKVJ0nJXw,Time Bomb Spot,200 S Highland Ave Shadyside Pittsburgh PA 15206,0,2,1,1,4.5,
bockWFDA3mzjuujY7tOcaw,Bernie's Photo Center,525 E Ohio St North Side Pittsburgh PA 15212,1,3,0,1,3.0,
H9R8b2pgn3NQhQHesEUEiQ,The Exchange,2904 W Liberty Ave Dormont Pittsburgh PA 15216,1,2,0,1,3.5,
0sIumiRwbjhT71ltLIZqqQ,The Fireplace & Patioplace,1651 McFarland Rd Pittsburgh PA 15216,1,4,1,1,3.5,
Wnn1GtvvtnkFdPfdRcYW-Q,Moonstones,2892 W Liberty Ave Dormont Pittsburgh PA 15216,1,2,1,1,4.5,
dWVFS5Jiu6Ee7vOLc2T6-w,West Liberty Cycles,2693 W Liberty Ave Brookline Pittsburgh PA 15216,0,0,0,1,5.0,
bufORugql7KgD_d5KvhxDQ,The Botanical Emporium Florist & Greenhouse,1685 McFarland Rd Pittsburgh PA 15216,0,2,0,1,4.0,
T6P49PTjPAy7BzyGtscLqw,Blooming Dahlia,297 Beverly Rd Pittsburgh PA 15216,1,2,0,1,5.0,
oTojBCc-Lex09Fww3QmWWg,Staples,2515 Banksville Rd Banksville Pittsburgh PA 15216,0,2,0,1,3.5,
YSwiLSkOzH-gQU6PVJ9kmA,Candalina Brides,1700 Monongahela Ave Pittsburgh PA 15218,0,2,0,1,2.5,
